Obs,Shark_ID,lon,lat,Month,Day,Year,Season
96,19802,-77.74127563,29.7984146,4,17,2019,Cold
97,19802,-77.44708254,30.4138201,4,18,2019,Cold
98,19802,-77.18604037,31.1870374,4,19,2019,Cold
99,19802,-76.92907881,31.52954655,4,20,2019,Cold
100,19802,-76.4604985,32.44589435,4,21,2019,Cold
101,19802,-76.01555657,33.57161631,4,22,2019,Cold
102,19802,-75.34811375,34.06283417,4,23,2019,Cold
103,19802,-74.44489141,35.02405246,4,24,2019,Cold
104,19802,-73.38793112,36.5906085,4,25,2019,Cold
105,19802,-72.66421278,37.87107363,4,26,2019,Cold
106,19802,-72.69210381,38.21207236,4,27,2019,Cold
107,19802,-73.00597343,38.0264484,4,28,2019,Cold
108,19802,-73.14689206,37.70347086,4,29,2019,Cold
109,19802,-72.79696511,37.54133497,4,30,2019,Cold
110,19802,-71.69453233,37.52230005,5,1,2019,Warm
111,19802,-70.43997725,37.52364766,5,2,2019,Warm
112,19802,-69.18465817,37.55253407,5,3,2019,Warm
113,19802,-68.06541992,37.61503797,5,4,2019,Warm
114,19802,-67.24081445,37.69326227,5,5,2019,Warm
115,19802,-66.50926144,37.91383269,5,6,2019,Warm
116,19802,-65.71240435,38.42597827,5,7,2019,Warm
117,19802,-65.55681598,38.7672689,5,8,2019,Warm
118,19802,-65.8017003,38.8994727,5,9,2019,Warm
119,19802,-66.03310908,38.79984927,5,10,2019,Warm
120,19802,-65.89198731,38.42989151,5,11,2019,Warm
121,19802,-65.41285964,38.0005394,5,12,2019,Warm
122,19802,-65.29757095,37.99696112,5,13,2019,Warm
123,19802,-65.40628084,37.94091096,5,14,2019,Warm
124,19802,-65.59406675,37.87153071,5,15,2019,Warm
125,19802,-65.76132896,37.81759514,5,16,2019,Warm
126,19802,-65.83255485,37.79801996,5,17,2019,Warm
127,19802,-65.8047258,37.82149148,5,18,2019,Warm
128,19802,-65.86811579,38.15034157,5,19,2019,Warm
129,19802,-66.22021285,38.60297611,5,20,2019,Warm
130,19802,-66.77157536,38.96511512,5,21,2019,Warm
131,19802,-67.44203632,39.03058031,5,22,2019,Warm
132,19802,-68.15142871,38.59137758,5,23,2019,Warm
133,19802,-68.81692057,37.55673238,5,24,2019,Warm
134,19802,-69.33104169,36.77412566,5,25,2019,Warm
135,19802,-69.76257768,36.57260581,5,26,2019,Warm
136,19802,-70.12074586,36.88227254,5,27,2019,Warm
137,19802,-70.34828006,37.34162311,5,28,2019,Warm
138,19802,-70.5707759,37.93265735,5,29,2019,Warm
139,19802,-70.62103898,38.02407849,5,30,2019,Warm
140,19802,-70.52359833,38.32859306,5,31,2019,Warm
141,19802,-70.3628797,38.74404549,6,1,2019,Warm
142,19802,-70.20789597,39.19130049,6,2,2019,Warm
143,19802,-70.12766003,39.5929779,6,3,2019,Warm
144,19802,-70.19118476,39.87341624,6,4,2019,Warm
145,19802,-70.46748307,39.95777337,6,5,2019,Warm
146,19802,-70.95180604,39.84036071,6,6,2019,Warm
147,19802,-71.46588433,39.66920624,6,7,2019,Warm
148,19802,-71.90643488,39.50108314,6,8,2019,Warm
149,19802,-72.23501909,39.32833525,6,9,2019,Warm
150,19802,-72.41319841,39.14322909,6,10,2019,Warm
151,19802,-72.40253424,38.93794525,6,11,2019,Warm
152,19802,-72.16458801,38.70456125,6,12,2019,Warm
153,19802,-71.66824111,38.43599908,6,13,2019,Warm
154,19802,-70.92104456,38.06144772,6,14,2019,Warm
155,19802,-69.83755972,37.4425966,6,15,2019,Warm
156,19802,-68.73062312,36.93104161,6,16,2019,Warm
157,19802,-67.81628327,36.79556656,6,17,2019,Warm
158,19802,-67.33106103,37.32748988,6,18,2019,Warm
159,19802,-67.23486562,38.03320969,6,19,2019,Warm
160,19802,-67.35860374,38.50667545,6,20,2019,Warm
161,19802,-67.64857571,39.25895912,6,21,2019,Warm
162,19802,-68.20040416,39.64763499,6,22,2019,Warm
163,19802,-68.87294137,39.85886268,6,23,2019,Warm
164,19802,-69.58957339,39.94778359,6,24,2019,Warm
165,19802,-70.27368626,39.9683728,6,25,2019,Warm
166,19802,-70.84866603,39.97418508,6,26,2019,Warm
167,19802,-71.2857439,40.03196492,6,27,2019,Warm
168,19802,-71.60368764,40.2857035,6,28,2019,Warm
169,19802,-71.8203081,40.63821473,6,29,2019,Warm
170,19802,-71.97644834,40.62347758,6,30,2019,Warm
171,19802,-72.13036431,40.26410712,7,1,2019,Warm
172,19802,-72.30786482,39.76440133,7,2,2019,Warm
